1624762800000,2021-06-27 03:00:00,33096.10000000,33178.08000000,32752.10000000,33146.91000000,3223.56813400,106313243.81170986,50166
1624759200000,2021-06-27 02:00:00,32868.10000000,33200.00000000,32660.84000000,33096.10000000,4803.20868300,158136588.27050114,79159
1624755600000,2021-06-27 01:00:00,32369.27000000,32978.40000000,32263.21000000,32865.53000000,5886.51298800,192837287.14465250,94369
1624752000000,2021-06-27 00:00:00,32283.65000000,32650.00000000,31973.45000000,32369.29000000,6128.37309300,198304424.37210893,90471
1624748400000,2021-06-26 23:00:00,31768.88000000,32300.24000000,31628.01000000,32283.65000000,3421.48164000,109136671.29984229,79375
1624744800000,2021-06-26 22:00:00,31411.98000000,31800.00000000,31365.44000000,31768.88000000,2388.09323200,75466306.59380973,85217
1624741200000,2021-06-26 21:00:00,31300.83000000,31442.95000000,30905.78000000,31411.98000000,2522.75183900,78625660.01564924,48029
1624737600000,2021-06-26 20:00:00,31573.97000000,31639.56000000,31067.96000000,31300.83000000,2488.47865900,77820013.86281183,60150
1624734000000,2021-06-26 19:00:00,31590.27000000,31771.33000000,31452.19000000,31573.98000000,1871.91510400,59156096.25812478,40154
1624730400000,2021-06-26 18:00:00,31685.48000000,31910.00000000,31433.00000000,31590.27000000,3402.64948300,107747658.44807011,105016
1624726800000,2021-06-26 17:00:00,31248.16000000,31768.47000000,31038.49000000,31685.47000000,3561.61212600,111723943.50823685,62111
1624723200000,2021-06-26 16:00:00,31526.88000000,31556.92000000,30776.63000000,31248.16000000,4357.86180100,135480267.10795085,98323
1624719600000,2021-06-26 15:00:00,31253.71000000,31608.45000000,30927.40000000,31523.50000000,5035.76818600,157296415.37028162,73489
1624716000000,2021-06-26 14:00:00,30814.15000000,31457.56000000,30505.00000000,31253.72000000,6139.59802800,189612073.56099491,88266
1624712400000,2021-06-26 13:00:00,31280.69000000,31759.01000000,30754.32000000,30810.81000000,5407.25411200,168766304.74460708,109262
1624708800000,2021-06-26 12:00:00,31777.90000000,31985.00000000,31266.87000000,31283.90000000,5608.70725600,177697720.37359172,77563
1624705200000,2021-06-26 11:00:00,31096.11000000,31883.60000000,31089.22000000,31777.73000000,6145.80933900,193959574.49771722,83290
1624701600000,2021-06-26 10:00:00,31052.60000000,31278.00000000,30758.18000000,31096.10000000,4215.51353400,130744412.30531119,63723
1624698000000,2021-06-26 09:00:00,30411.84000000,31333.00000000,30277.00000000,31052.60000000,8203.01483300,252129019.60220082,108528
1624694400000,2021-06-26 08:00:00,30713.54000000,30878.95000000,30151.00000000,30412.23000000,9923.01519500,301918017.52155383,141937
1624690800000,2021-06-26 07:00:00,31731.25000000,31820.01000000,30573.77000000,30720.37000000,12242.08849500,381186467.58587112,146762
1624687200000,2021-06-26 06:00:00,32229.32000000,32436.49000000,31640.00000000,31731.25000000,3056.07340200,97727202.51922889,50263
1624683600000,2021-06-26 05:00:00,32355.98000000,32730.00000000,32090.00000000,32229.32000000,3124.17328000,101231370.61882150,50394
1624680000000,2021-06-26 04:00:00,31979.71000000,32436.20000000,31869.69000000,32354.36000000,2637.56775500,84743495.28670702,40363
1624676400000,2021-06-26 03:00:00,31943.49000000,32268.91000000,31933.08000000,31977.59000000,2309.05483400,74089380.22300812,38361
1624672800000,2021-06-26 02:00:00,31970.03000000,32082.46000000,31682.02000000,31943.48000000,1982.84519900,63230548.61887981,38420
1624669200000,2021-06-26 01:00:00,32000.00000000,32046.51000000,31519.00000000,31968.35000000,2521.20640200,80121868.22444014,47304
1624665600000,2021-06-26 00:00:00,31576.09000000,32222.00000000,31300.00000000,32000.00000000,5253.84155300,166804963.64541345,77751
1624662000000,2021-06-25 23:00:00,31423.32000000,32000.00000000,31380.74000000,31584.45000000,3210.52850100,101611189.71436694,66703
1624658400000,2021-06-25 22:00:00,31799.14000000,31975.98000000,31275.00000000,31423.32000000,4173.79370700,131860056.40319648,68312
1624654800000,2021-06-25 21:00:00,32200.00000000,32228.11000000,31553.93000000,31799.37000000,4255.44190500,135384456.09423449,76863
1624651200000,2021-06-25 20:00:00,32222.91000000,32369.00000000,31918.05000000,32199.99000000,2783.45702100,89569517.93452847,59538
1624647600000,2021-06-25 19:00:00,32088.13000000,32511.84000000,31730.01000000,32220.74000000,4151.86910800,133775029.26815688,67192
1624644000000,2021-06-25 18:00:00,31681.46000000,32295.81000000,31500.00000000,32088.12000000,5935.51935000,190174832.82862566,84677
1624640400000,2021-06-25 17:00:00,31942.50000000,32238.58000000,31500.00000000,31681.46000000,6599.33176000,210283397.60519521,90874
1624636800000,2021-06-25 16:00:00,32607.07000000,32910.64000000,31627.01000000,31946.09000000,11708.81477300,376777508.30084866,164787
1624633200000,2021-06-25 15:00:00,32793.81000000,32965.00000000,32351.00000000,32607.07000000,6478.28085100,211636250.32404770,105076
1624629600000,2021-06-25 14:00:00,32988.37000000,33448.00000000,32550.00000000,32789.23000000,7424.17392200,245338687.72313917,103550
1624626000000,2021-06-25 13:00:00,33093.88000000,33198.99000000,32640.27000000,32986.71000000,5495.39841200,181094739.09530117,90122
1624622400000,2021-06-25 12:00:00,33311.96000000,33600.77000000,32823.31000000,33093.89000000,7470.30483400,248056245.96818687,107534
1624618800000,2021-06-25 11:00:00,33759.41000000,33878.86000000,33234.37000000,33311.96000000,7790.76941200,260808605.00916213,164732
1624615200000,2021-06-25 10:00:00,33751.57000000,33955.08000000,33500.10000000,33759.40000000,3961.60152600,133596396.50767828,65531
1624611600000,2021-06-25 09:00:00,34292.52000000,34480.00000000,33720.00000000,33749.44000000,3995.30706700,136112531.13175619,67047
1624608000000,2021-06-25 08:00:00,34281.37000000,34397.05000000,33936.99000000,34292.52000000,3497.87740400,119387176.64788545,130783
1624604400000,2021-06-25 07:00:00,34426.29000000,34426.30000000,33961.48000000,34283.82000000,4650.54993900,158898497.01391238,83541
1624600800000,2021-06-25 06:00:00,34478.75000000,34583.24000000,34118.00000000,34426.30000000,3082.29778100,105972462.66682706,90211
1624597200000,2021-06-25 05:00:00,34775.62000000,34896.23000000,34310.81000000,34478.75000000,2847.67749500,98368516.42029008,49833
1624593600000,2021-06-25 04:00:00,35057.70000000,35100.00000000,34620.33000000,34775.51000000,1914.04213200,66633177.39020630,40768
1624590000000,2021-06-25 03:00:00,35162.99000000,35216.16000000,34816.32000000,35052.07000000,1989.43581800,69641133.00458954,44138
1624586400000,2021-06-25 02:00:00,34831.00000000,35500.00000000,34812.63000000,35162.99000000,5030.11664300,177160051.53634436,131435
1624582800000,2021-06-25 01:00:00,34590.59000000,34836.67000000,34251.00000000,34835.70000000,3742.94932900,129011366.21558617,66335
1624579200000,2021-06-25 00:00:00,34663.08000000,35145.00000000,34586.99000000,34590.51000000,3871.59166600,134968717.85323116,75350
1624575600000,2021-06-24 23:00:00,34754.35000000,34840.00000000,34540.00000000,34663.09000000,1537.88188700,53337518.87833973,29645
1624572000000,2021-06-24 22:00:00,34767.68000000,34832.00000000,34512.00000000,34754.35000000,3147.74947700,109115690.54160177,49203
1624568400000,2021-06-24 21:00:00,34858.07000000,34910.94000000,34652.01000000,34767.68000000,1434.51454100,49888683.55807489,36878
1624564800000,2021-06-24 20:00:00,34854.63000000,34999.09000000,34700.62000000,34858.07000000,1812.35967100,63190879.38289137,39480
1624561200000,2021-06-24 19:00:00,34884.14000000,34914.99000000,34688.00000000,34857.73000000,2125.95090600,74004186.12285287,42212
1624557600000,2021-06-24 18:00:00,34992.15000000,35298.00000000,34824.51000000,34884.14000000,4036.34768200,141439743.43455058,84739
1624554000000,2021-06-24 17:00:00,34519.11000000,35058.00000000,34519.11000000,34992.14000000,6924.13382000,241140038.96374730,112700
1624550400000,2021-06-24 16:00:00,33888.81000000,34528.00000000,33751.00000000,34519.11000000,5584.29179400,190646575.30265312,128275
1624546800000,2021-06-24 15:00:00,34052.91000000,34583.58000000,33850.41000000,33886.52000000,7896.69905300,270444877.92029354,116142
1624543200000,2021-06-24 14:00:00,34062.26000000,34160.00000000,33838.00000000,34052.91000000,2436.99117800,82806674.05581359,40590
1624539600000,2021-06-24 13:00:00,34067.16000000,34122.88000000,33756.04000000,34056.43000000,2843.82591200,96515303.16571812,46456
1624536000000,2021-06-24 12:00:00,33850.78000000,34260.00000000,33815.80000000,34064.92000000,5553.27812400,188959018.39908887,84052
1624532400000,2021-06-24 11:00:00,33230.65000000,33930.23000000,33230.64000000,33850.77000000,4151.63594300,139455811.02157072,66284
1624528800000,2021-06-24 10:00:00,33281.49000000,33410.00000000,33135.00000000,33233.00000000,2749.13163900,91501645.65813419,57727
1624525200000,2021-06-24 09:00:00,33388.56000000,33615.25000000,33209.95000000,33281.48000000,3272.66371400,109157591.88386516,53138
1624521600000,2021-06-24 08:00:00,32853.74000000,33399.86000000,32820.61000000,33388.55000000,3332.90613300,110235858.58615913,57007
1624518000000,2021-06-24 07:00:00,33005.23000000,33280.55000000,32768.81000000,32853.74000000,3526.20522200,116469468.16530808,54342
1624514400000,2021-06-24 06:00:00,32982.00000000,33206.79000000,32724.38000000,33005.23000000,2950.79518300,97193313.62533806,46420
1624510800000,2021-06-24 05:00:00,32546.39000000,33023.95000000,32480.00000000,32982.01000000,3428.69609400,112337121.15104436,53841
1624507200000,2021-06-24 04:00:00,32589.20000000,32785.70000000,32286.57000000,32546.38000000,3145.35940900,102374584.06350957,61437
1624503600000,2021-06-24 03:00:00,32495.25000000,32849.61000000,32368.77000000,32589.20000000,2672.90880200,87198369.85031855,53602
1624500000000,2021-06-24 02:00:00,32649.99000000,32870.34000000,32339.82000000,32495.26000000,3973.40921000,129463955.82534314,71213
1624496400000,2021-06-24 01:00:00,33186.99000000,33353.16000000,32527.05000000,32650.00000000,4329.79465100,142507331.29993183,77749
1624492800000,2021-06-24 00:00:00,33675.07000000,33879.99000000,33162.12000000,33186.98000000,3758.27421500,125988981.24982862,68098
1624489200000,2021-06-23 23:00:00,33469.76000000,33749.11000000,33251.00000000,33678.07000000,2214.91351700,74299623.76273051,45570
1624485600000,2021-06-23 22:00:00,33335.01000000,33587.00000000,33133.33000000,33469.85000000,2554.36909900,85330816.32821834,46967
1624482000000,2021-06-23 21:00:00,33045.77000000,33785.26000000,32985.50000000,33335.00000000,3332.77123000,111004246.60977678,67949
1624478400000,2021-06-23 20:00:00,32882.50000000,33295.79000000,32749.01000000,33045.78000000,4423.69468500,146242299.13899416,66149
1624474800000,2021-06-23 19:00:00,33292.57000000,33568.96000000,32870.99000000,32879.97000000,3758.59185100,124896927.87190439,67189
1624471200000,2021-06-23 18:00:00,33595.81000000,33595.81000000,32919.19000000,33292.58000000,5643.97246000,187695947.69556149,103908
1624467600000,2021-06-23 17:00:00,33688.58000000,33739.98000000,33501.00000000,33595.82000000,1856.69114100,62420461.76924263,46856
1624464000000,2021-06-23 16:00:00,33490.14000000,33947.17000000,33211.00000000,33685.30000000,5430.38827600,182608346.81754708,100972
1624460400000,2021-06-23 15:00:00,34058.00000000,34085.19000000,33400.30000000,33490.14000000,8223.99177900,276697256.69842412,104330
1624456800000,2021-06-23 14:00:00,33989.13000000,34195.14000000,33750.00000000,34057.99000000,4880.20386100,166004831.88811779,71181
1624453200000,2021-06-23 13:00:00,34199.99000000,34881.00000000,33877.26000000,33994.76000000,11307.99977500,388676286.88584884,160328
1624449600000,2021-06-23 12:00:00,33911.40000000,34200.00000000,33850.00000000,34199.98000000,3853.67773000,131172555.53278661,59354
1624446000000,2021-06-23 11:00:00,34218.49000000,34500.00000000,33845.00000000,33911.39000000,5083.20587300,173466994.01046616,73578
1624442400000,2021-06-23 10:00:00,33920.97000000,34298.52000000,33833.10000000,34218.48000000,3905.42267900,133098552.18219055,68617
1624438800000,2021-06-23 09:00:00,33735.05000000,34115.81000000,33650.21000000,33920.97000000,3962.64707400,134430493.46100267,79551
1624435200000,2021-06-23 08:00:00,33982.26000000,34264.57000000,33717.28000000,33735.90000000,5390.48954300,183480993.22868920,76464
1624431600000,2021-06-23 07:00:00,33880.89000000,34196.70000000,33818.57000000,33982.26000000,3153.32448500,107253061.79786097,51648
1624428000000,2021-06-23 06:00:00,34320.47000000,34392.10000000,33770.00000000,33880.88000000,4383.60299000,149345381.49333010,73186
1624424400000,2021-06-23 05:00:00,33800.00000000,34368.56000000,33574.11000000,34320.47000000,6246.15707000,212552819.47635693,87750
1624420800000,2021-06-23 04:00:00,33969.69000000,34286.20000000,33723.00000000,33800.00000000,4657.34088100,158214404.03435935,67251
1624417200000,2021-06-23 03:00:00,33812.12000000,34055.88000000,33680.00000000,33966.43000000,3886.34433700,131467313.40534484,65728
1624413600000,2021-06-23 02:00:00,34007.64000000,34187.04000000,33742.85000000,33812.11000000,5081.33403200,172457227.09155212,117100
1624410000000,2021-06-23 01:00:00,33653.32000000,34444.00000000,33540.13000000,34007.64000000,9426.97206900,320082718.00117773,136733
1624406400000,2021-06-23 00:00:00,32509.56000000,33850.00000000,31683.00000000,33653.33000000,14307.99412600,469350874.73796182,187869
1624402800000,2021-06-22 23:00:00,32582.57000000,32790.71000000,32150.00000000,32509.56000000,3926.41837300,127216975.89901102,62858
1624399200000,2021-06-22 22:00:00,32475.29000000,32719.57000000,32260.61000000,32582.56000000,2998.40290100,97329967.21571219,72868
1624395600000,2021-06-22 21:00:00,32893.50000000,32940.00000000,32150.00000000,32471.57000000,3574.70359700,116003135.56918083,74870
1624392000000,2021-06-22 20:00:00,32404.06000000,32987.00000000,32151.00000000,32885.09000000,4418.06660400,144359619.90355981,74904
1624388400000,2021-06-22 19:00:00,32986.41000000,33050.00000000,32137.68000000,32404.06000000,5091.41621800,165890636.03807532,100331
1624384800000,2021-06-22 18:00:00,32748.10000000,33298.78000000,32324.44000000,32986.40000000,7798.36156400,256150746.97763912,121952
1624381200000,2021-06-22 17:00:00,32512.02000000,32930.00000000,31968.39000000,32750.73000000,7739.55314000,250778751.81277862,120106
1624377600000,2021-06-22 16:00:00,31707.56000000,32818.55000000,31620.00000000,32512.02000000,16742.21486200,539604208.86369545,253519
1624374000000,2021-06-22 15:00:00,30567.92000000,31980.00000000,30317.47000000,31708.08000000,18167.95156300,566949749.59346854,232859
1624370400000,2021-06-22 14:00:00,29239.00000000,30840.00000000,29006.43000000,30567.93000000,17235.33243400,514249514.19278571,216397
1624366800000,2021-06-22 13:00:00,29890.83000000,30150.15000000,28805.00000000,29238.99000000,16509.39478000,486904700.76236997,228713
1624363200000,2021-06-22 12:00:00,31236.53000000,31310.57000000,29294.08000000,29895.08000000,34147.48362300,1028499500.12295746,438173
1624359600000,2021-06-22 11:00:00,31797.50000000,31900.00000000,31200.00000000,31243.41000000,5543.17370500,174445850.31370085,82887
1624356000000,2021-06-22 10:00:00,31585.70000000,32222.22000000,31112.00000000,31797.50000000,10272.21293400,325102928.02597992,156456
1624352400000,2021-06-22 09:00:00,31720.87000000,31792.44000000,31200.28000000,31584.03000000,6953.91158300,219132715.56880218,144231
1624348800000,2021-06-22 08:00:00,32647.96000000,32658.63000000,31523.00000000,31720.88000000,8340.95325800,267077281.23395975,115841
1624345200000,2021-06-22 07:00:00,32859.61000000,32900.00000000,32553.01000000,32648.98000000,2479.88896500,81108310.89596768,49863
1624341600000,2021-06-22 06:00:00,32578.27000000,32870.00000000,32487.43000000,32860.62000000,2638.94751800,86243220.90923637,43834
1624338000000,2021-06-22 05:00:00,32910.84000000,33021.12000000,32479.00000000,32578.27000000,3097.90594900,101273757.41018590,65963
