19.02.2019 02:00;386769;387551;385641;385746;6,69E+11
19.02.2019 01:00;392833;392833;384437;386769;1,86E+12
19.02.2019 00:00;386699;395542;386699;392833;2,65E+12
18.02.2019 23:00;386055;387511;385337;386699;1,77E+12
18.02.2019 22:00;38530;386308;38290;386055;6,72E+11
18.02.2019 21:00;386471;387943;38530;38530;1,48E+12
18.02.2019 20:00;386994;386994;385257;386471;3,50E+11
18.02.2019 19:00;388045;388771;386225;386994;8,29E+11
18.02.2019 18:00;38600;389715;38600;388045;8,63E+11
18.02.2019 17:00;385941;387813;384057;38600;1,12E+12
18.02.2019 16:00;380533;391251;380271;385941;6,72E+12
18.02.2019 15:00;379727;38087;37790;380533;3,47E+12
18.02.2019 14:00;379989;382643;378679;379727;2,43E+12
18.02.2019 13:00;373236;381718;371791;379989;5,30E+12
18.02.2019 12:00;370666;374586;369596;373236;7,90E+11
18.02.2019 11:00;369174;371805;36905;370666;19690386406
18.02.2019 10:00;370645;370981;368522;369174;3,08E+11
18.02.2019 09:00;369664;371037;369664;370645;22545828939
18.02.2019 08:00;369095;371148;368898;369664;873021303
18.02.2019 07:00;369644;372629;369095;369095;1,43E+12
18.02.2019 06:00;367707;369735;36733;369644;2,57E+11
18.02.2019 05:00;367696;36781;365908;367707;43221258055
18.02.2019 04:00;368893;368955;36663;367696;49631142664
18.02.2019 03:00;366802;36972;366802;368893;1,92E+12
18.02.2019 02:00;364945;367357;364473;366802;3,72E+11
18.02.2019 01:00;365922;373242;362562;364945;5,20E+12
18.02.2019 00:00;36267;36650;361809;365922;1,37E+11
17.02.2019 23:00;360346;363999;359845;36267;65015529276
17.02.2019 22:00;358643;360871;358643;360346;2,03E+11
17.02.2019 21:00;357265;360467;357264;358643;2,47E+12
17.02.2019 20:00;356931;357489;356931;357265;81885550083
17.02.2019 19:00;356961;357394;356749;356931;2,09E+11
17.02.2019 18:00;35750;357914;356747;356961;3,62E+11
17.02.2019 17:00;357379;357682;357264;35750;1,68E+11
17.02.2019 16:00;35698;357698;356564;357379;2,28E+11
17.02.2019 15:00;357545;357545;356979;35698;3,72E+11
17.02.2019 14:00;35682;357579;35682;357545;96202576828
17.02.2019 13:00;356536;357129;355738;35682;51318952314
17.02.2019 12:00;35800;35853;356536;356536;4,82E+11
17.02.2019 11:00;358593;359533;35800;35800;6,70E+11
17.02.2019 10:00;360018;367587;35815;358593;6,84E+12
17.02.2019 09:00;359802;36003;359759;360018;6915902755
17.02.2019 08:00;35991;360047;359801;359802;84222616004
17.02.2019 07:00;359622;35991;359467;35991;34948452687
17.02.2019 06:00;359843;359954;35940;359622;1,03E+11
17.02.2019 05:00;35958;359844;359351;359843;1,64E+11
17.02.2019 04:00;358918;35958;358687;35958;1,85E+11
17.02.2019 03:00;358631;358918;358412;358918;53799645446
17.02.2019 02:00;358601;358868;358419;358631;76042594514
17.02.2019 01:00;358256;358658;357809;358601;22834128851
17.02.2019 00:00;35823;35884;357639;358256;3,13E+11
16.02.2019 23:00;359439;359489;357768;35823;1,02E+11
16.02.2019 22:00;35940;359569;359071;359439;1136961852
16.02.2019 21:00;359907;359942;359262;35940;1,75E+11
16.02.2019 20:00;359493;359907;359421;359907;1,73E+11
16.02.2019 19:00;35920;360116;359168;359493;3,40E+11
16.02.2019 18:00;35919;359379;35907;35920;675175158
16.02.2019 17:00;359599;359599;35873;35919;3,19E+11
16.02.2019 16:00;359722;360692;359117;359599;1,96E+11
16.02.2019 15:00;359679;360299;359371;359722;2,73E+11
16.02.2019 14:00;359558;360492;359511;359679;61199800224
